Идентификатор вакансии;Наименование вакансии;Город;Работодатель;Дата публикации;Дата создания;График работы;Тип трудоустройства;Требуемый опыт;Количество откликов на вакансию с момента публикации;Количество откликов на вакансию с момента создания;Начальная граница З/П;Конечная граница З/П;Итоговая З/П;Ключевые навыки;Профессиональные роли;Кол-во ключевых навыков
102302651;Программист АСУ ТП;Москва;Спецпожинжиниринг;2024-06-19 18:22:00;2024-06-19 18:22:00;Полный день;Полная занятость;От 1 года до 3 лет;0;0;200;250000;125100;Allen Bradley,CODESYS,Fanuc,Fastwel,Импортозамещение,Integrity SCADA,MasterScada,программируемые логические контроллеры,Разработка ПО контроллеров Систем пожарной автоматики,Разработка технической документации,SCADA,SIMATIC,Техническая поддержка,TraceMode,Weintek;Программист, разработчик;15
102302648;Backend Node.js developer;Москва;Selecty;2024-06-19 18:21:46;2024-06-19 18:21:46;Полный день;Полная занятость;От 3 до 6 лет;0;0;250000;;125000;Kafka,MS SQL,Nest.js,Node.js,PostgreSQL;Программист, разработчик;5
102302278;.NET разработчик;Санкт-Петербург;НПП Новые Технологии Телекоммуникаций;2024-06-19 18:16:27;2024-06-19 18:16:27;Полный день;Полная занятость;От 1 года до 3 лет;1;1;70000;;35000;.NET Core,.NET Framework,C#;Программист, разработчик;3
102302272;Frontend/Angular разработчик;Москва;LITE Gallery;2024-06-19 18:16:17;2024-06-19 18:16:17;Удаленная работа;Полная занятость;От 1 года до 3 лет;0;0;80000;;40000;Angular,TypeScript;Программист, разработчик;2
99616346;Программист 1С;Москва;НПО ХимТэк;2024-06-19 18:16:09;2024-06-19 18:16:09;Полный день;Полная занятость;От 3 до 6 лет;0;19;150000;250000;200000;1С программирование,SOAP,Создание конфигурации 1С,Умение работать в условиях многозадачности,XML;Программист, разработчик;5
96017867;Системный программист Linux;Москва;Сервисный центр Транстелематика;2024-06-19 18:10:38;2024-06-19 18:10:38;Полный день;Полная занятость;От 3 до 6 лет;0;26;;250000;125000;C/C++,CAN,CSI,DSI,GCC,gdb,I2C,libcap,Linux,PCI,POSIX socket,Radxa Zero,RockChip RK3566,RS-232/422/485,RS-232/422/485, I2C, SPI, CSI, DSI, CAN, USB, PCI,SPI,uboot,USB;Программист, разработчик;25
102301738;Инженер-программист (АСУ ТП SCADA);Москва;МИО Электро;2024-06-19 18:09:56;2024-06-19 18:09:56;Полный день;Полная занятость;От 1 года до 3 лет;1;1;150000;;75000;Citect SCADA,iFix,Master SCADA,WinCC;Программист, разработчик;4
102301707;Fullstack веб разработчик;Москва;Первый Бит;2024-06-19 18:09:14;2024-06-19 18:09:14;Полный день;Полная занятость;От 3 до 6 лет;0;0;130500;;65250;;Программист, разработчик;0
102301641;Программист 1С;Бор;Tom Hunt;2024-06-19 18:08:46;2024-06-19 18:08:46;Полный день;Полная занятость;От 3 до 6 лет;0;0;80000;;40000;1С: Бухгалтерия,1С: Предприятие,1С: Предприятие 8,1С программирование;Программист, разработчик;4
102301465;Ведущий программист 1С ЗУП (проектная работа), удаленно;Москва;Системный Администратор;2024-06-19 18:05:56;2024-06-19 18:05:56;Полный день;Полная занятость;От 3 до 6 лет;0;0;250000;;125000;1С: Зарплата и управление персоналом,1С программирование,ERP-системы на базе 1С,Программирование;Программист, разработчик;4
102301416;Инженер-программист АСУ ТП;Домодедово;Гиден Электроникс;2024-06-19 18:05:02;2024-06-19 18:05:02;Полный день;Полная занятость;От 1 года до 3 лет;0;0;140000;;70000;;Программист, разработчик;0
102301278;PHP-разработчик Битрикс;Москва;ОГО! онлайн-гипермаркет;2024-06-19 18:03:01;2024-06-19 18:03:01;Полный день;Полная занятость;От 1 года до 3 лет;0;0;150000;;75000;CMS Bitrix,CSS,HTML,JavaScript,Linux,MySQL,PHP,PHP 8.x,REST API,SOAP,Знание ядра D7;Программист, разработчик;11
102301279;Программист Битрикс 24;Москва;KitchenMania.ru;2024-06-19 18:03:01;2024-06-19 18:03:01;Удаленная работа;Полная занятость;Более 6 лет;1;1;200000;;100000;jQuery Java JSON JavaScript Unix JSON API HTML Unix Shell Scripts MySQL PHP5 PHP SOAP CSS 1С-Битрик;Программист, разработчик;1
102189238;Web-программист (Bitrix24);Москва;Первый Бит;2024-06-19 18:00:29;2024-06-19 18:00:29;Удаленная работа;Полная занятость;От 1 года до 3 лет;0;8;174000;217500;195750;1С-Битрикс,Ajax,Git,JavaScript,jQuery,MySQL,PHP5,XML;Программист, разработчик;8
82947890;Программист 1C (Удаленный формат работы);Москва;Первый Бит;2024-06-19 18:00:29;2024-06-19 18:00:29;Удаленная работа;Полная занятость;От 1 года до 3 лет;0;281;130000;250000;190000;1C: Зарплата и кадры,1С: Бухгалтерия,1С: Документооборот,1С: Комплексная автоматизация,1С: Предприятие 8,1С: Управление Производственным Предприятием,1С: Управление Торговлей,1С: Зарплата и управление персоналом,1С программирование,ERP,ERP-системы на базе 1С,Системная интеграция,Удаленная работа;Программист, разработчик;13
83305484;Программист 1C (Внедрение);Москва;Первый Бит;2024-06-19 18:00:29;2024-06-19 18:00:29;Удаленная работа;Полная занятость;От 1 года до 3 лет;0;99;150000;;75000;1C: Зарплата и кадры,1С: Бухгалтерия,1С: Документооборот,1С: Комплексная автоматизация,1С: Предприятие 8,1С: Управление Производственным Предприятием,1С: Управление Торговлей,1С: Зарплата и управление персоналом,1С программирование,ERP,ERP-системы на базе 1С,Системная интеграция,Удаленная работа;Программист, разработчик;13
102300878;Программист 1С;Ижевск;IT-Сервис;2024-06-19 17:56:03;2024-06-19 17:56:03;Полный день;Полная занятость;От 3 до 6 лет;0;0;150;250;200;1C: ERP,1С: Бухгалтерия,1С: Документооборот,1С: Комплексная автоматизация,1С: Предприятие 8,1С: Управление Торговлей,1С: Зарплата и управление персоналом,1С программирование,Обновление конфигурации 1С;Программист, разработчик;9
100619976;SQL программист;Ростов-на-Дону;Электронная медицина;2024-06-19 17:55:30;2024-06-19 17:55:30;Полный день;Стажировка;Нет опыта;0;84;30000;45000;37500;;Другое;0
80736535;Программист JavaScript;Ростов-на-Дону;Электронная медицина;2024-06-19 17:55:19;2024-06-19 17:55:19;Полный день;Полная занятость;От 1 года до 3 лет;0;1007;50000;70000;60000;Английский язык;Программист, разработчик;1
80736556;Разработчик Python;Ростов-на-Дону;Электронная медицина;2024-06-19 17:55:08;2024-06-19 17:55:08;Полный день;Полная занятость;Нет опыта;1;2567;30000;80000;55000;Git,Linux,PostgreSQL,Python,SQL;Программист, разработчик;5
85428285;Ведущий программист (Team Lead);Москва;Политехнический музей;2024-06-19 17:54:40;2024-06-19 17:54:40;Полный день;Полная занятость;От 3 до 6 лет;0;158;;217500;108750;АСУ,Битрикс 24,Git,GitLab,Java Script,Коммуникабельность, ответственность,Контроль качества,Linux,Nginx,Организаторские навыки,PHP,PostgreSQL,Python,Работа в команде,Техническое задание,Ведение переговоров;Руководитель группы разработки;17
102300750;Программист Python;Ставрополь;ABS GROUP;2024-06-19 17:53:13;2024-06-19 17:53:13;Полный день;Полная занятость;От 1 года до 3 лет;1;1;70000;;35000;Docker,Git,PostgreSQL,Python,REST,Желание учиться и развиваться;Программист, разработчик;6
93353849;Программист 1С;Симферополь;Ломбард Капитал;2024-06-19 17:52:20;2024-06-19 17:52:20;Полный день;Полная занятость;От 1 года до 3 лет;0;10;150000;;75000;1С программирование;Программист, разработчик;1
101137154;Программист 1С;Пермь;Ревитех;2024-06-19 17:50:58;2024-06-19 17:50:58;Полный день;Полная занятость;От 1 года до 3 лет;0;0;100000;;50000;1С: Торговля,1С: Управление Торговлей,1С программирование;Программист, разработчик;3
101861586;PHP-разработчик / PHP (Symfony) developer;Москва;Human Capital;2024-06-19 17:48:39;2024-06-19 17:48:39;Полный день;Полная занятость;От 3 до 6 лет;0;23;217500;261000;239250;MySQL,PHP,Symfony;Программист, разработчик;3
102300202;Junior Unity разработчик;Краснодар;Саркисян Эрик Альбертович;2024-06-19 17:46:43;2024-06-19 17:46:43;Удаленная работа;Полная занятость;От 1 года до 3 лет;1;1;20000;40000;30000;Актуарные расчеты,Junior,Лояльность,Обязательность,Работа в команде,Работа в условиях многозадачности,Unity;Программист, разработчик;7
101341332;Golang Developer Middle;Москва;Кадровое агентство BWG;2024-06-19 17:42:18;2024-06-19 17:42:18;Полный день;Полная занятость;От 1 года до 3 лет;0;43;200000;350000;275000;Go,Golang,gRPC,Kafka,Kubernetes,PostgreSQL,REST;Программист, разработчик;7
94288675;Программист C++;Санкт-Петербург;НИИ телевидения;2024-06-19 17:42:04;2024-06-19 17:42:04;Полный день;Полная занятость;От 3 до 6 лет;0;24;87000;130500;108750;Английский язык,Git,Linux,ООП,Qt;Программист, разработчик;5
94288695;Инженер-программист ПЛИС 1 категории;Санкт-Петербург;НИИ телевидения;2024-06-19 17:42:03;2024-06-19 17:42:03;Полный день;Полная занятость;От 3 до 6 лет;0;3;100000;;50000;;Программист, разработчик;0
93658254;Инженер-программист станков с ЧПУ;Санкт-Петербург;НИИ телевидения;2024-06-19 17:42:02;2024-06-19 17:42:02;Полный день;Полная занятость;От 1 года до 3 лет;0;13;87000;;43500;Аналитические способности,AutoCAD,Компьютер,Основы программирования,Работа с компьютером,Solid Works,Техническая документация,Знание Word, Excel;Технолог;9
95897895;Программист 1С;Санкт-Петербург;НИИ телевидения;2024-06-19 17:42:02;2024-06-19 17:42:02;Полный день;Полная занятость;От 1 года до 3 лет;0;9;100000;;50000;;Программист, разработчик;0
97801682;Инженер-программист ПЛИС;Санкт-Петербург;НИИ телевидения;2024-06-19 17:42:02;2024-06-19 17:42:02;Полный день;Полная занятость;От 3 до 6 лет;0;1;104400;;52200;AHDL,Assembler,Eclipse,HDL,Intel Quartus,NIOS,ПЛИС,С,SystemVerilog,TimeQuest,Verilog HDL,VHDL,workbench;Программист, разработчик;13
102300018;Программист 1С-Битрикс;Краснодар;Отмахова Марина Викторовна;2024-06-19 17:42:01;2024-06-19 17:42:01;Полный день;Полная занятость;От 1 года до 3 лет;0;0;180000;;90000;1С-Битрикс,Bitrix,Git,JavaScript,Jetbrains Phpstorm,jQuery,ООП,PHP;Программист, разработчик;8
102299956;Программист станков с ЧПУ;Москва;Протектор;2024-06-19 17:41:18;2024-06-19 17:41:18;Полный день;Полная занятость;От 3 до 6 лет;0;0;170000;;85000;;Другое;0
97727532;Программист станков с ЧПУ;Домодедово;Протектор;2024-06-19 17:40:18;2024-06-19 17:40:18;Полный день;Полная занятость;От 3 до 6 лет;0;7;170000;;85000;;Другое;0
100632282;Junior/Middle C++ developer;Санкт-Петербург;Лиман-трейд;2024-06-19 17:36:16;2024-06-19 17:36:16;Полный день;Полная занятость;От 1 года до 3 лет;96;96;100000;;50000;Английский язык;Программист, разработчик;1
98952912;Программист-технолог станков ЧПУ;Домодедово;Гиден Электроникс;2024-06-19 17:33:58;2024-06-19 17:33:58;Полный день;Полная занятость;От 3 до 6 лет;1;7;160000;;80000;;Технолог;0
98952782;Инженер-программист АСУ ТП;Москва;Гиден Электроникс;2024-06-19 17:32:56;2024-06-19 17:32:56;Полный день;Полная занятость;От 1 года до 3 лет;4;21;140000;;70000;;Программист, разработчик;0
99961371;Программист 1С;Москва;La Nature;2024-06-19 17:32:28;2024-06-19 17:32:28;Полный день;Полная занятость;От 1 года до 3 лет;0;10;43500;;21750;;Программист, разработчик;0
101661966;Программист 1С / Ведущий программист 1С;Пермь;AVM SKY;2024-06-19 17:31:38;2024-06-19 17:31:38;Удаленная работа;Полная занятость;От 1 года до 3 лет;26;26;200000;;100000;;Программист, разработчик;0
101661718;Химик-разработчик декоративная косметика;Москва;ФТК;2024-06-19 17:30:34;2024-06-19 17:30:34;Полный день;Полная занятость;От 1 года до 3 лет;12;12;100000;;50000;Лабораторная работа,Производственный контроль,Работа с документацией,Разработка косметики,Сертификация;Другое;5
101661701;Web-программист WordPress;Санкт-Петербург;Строгов Медиа;2024-06-19 17:30:30;2024-06-19 17:30:30;Удаленная работа;Проектная работа;От 3 до 6 лет;183;183;17400;87000;52200;CMS Wordpress,CSS3,Git,HTML,Кроссбраузерная верстка,Веб-программирование;Программист, разработчик;6
101283047;Инженер-разработчик;Москва;АйТи БАСТИОН;2024-06-19 17:29:54;2024-06-19 17:29:54;Гибкий график;Полная занятость;От 3 до 6 лет;44;44;250000;;125000;Linux,Python;Программист, разработчик;2
99980169;Fullstack Ruby on Rails разработчик Middle/Senior;Санкт-Петербург;Сервис и Сети;2024-06-19 17:29:09;2024-06-19 17:29:09;Полный день;Полная занятость;От 3 до 6 лет;33;33;200100;;100050;Ajax,PostgreSQL,React,Ruby,Ruby On Rails,VueJS;Программист, разработчик;6
101661514;Инженер-технолог/Разработчик продукта;Москва;РУСТА;2024-06-19 17:27:57;2024-06-19 17:27:57;Полный день;Полная занятость;От 1 года до 3 лет;7;7;95700;;47850;Химические методы анализа,Контроль качества,Лабораторная работа,Технический контроль производства,Технология производства;Технолог;5
102298946;Junior Frontend-разработчик;Санкт-Петербург;vNorme;2024-06-19 17:26:23;2024-06-19 17:26:23;Удаленная работа;Полная занятость;От 1 года до 3 лет;68;68;26100;43500;34800;;Программист, разработчик;0
102298947;Junior Frontend-разработчик;Нижний Новгород;vNorme;2024-06-19 17:26:23;2024-06-19 17:26:23;Удаленная работа;Полная занятость;От 1 года до 3 лет;33;33;26100;43500;34800;;Программист, разработчик;0
99979911;Frontend разработчик (JavaScript/TypeScript);Москва;ИТ-Капитал;2024-06-19 17:26:11;2024-06-19 17:26:11;Гибкий график;Полная занятость;Более 6 лет;806;806;;300000;150000;CSS,Frontend,HTML,JavaScript,TypeScript;Программист, разработчик;5
